,1-SA_1-1-1
0.000000000000000000e+00,1.746652301064873427e+02
1.000000000000000000e+00,4.232040633440020656e+02
2.000000000000000000e+00,4.312115612048970092e+02
3.000000000000000000e+00,2.249288336241795889e+02
4.000000000000000000e+00,2.073754810607842387e+02
5.000000000000000000e+00,3.923347675974147251e+02
6.000000000000000000e+00,2.942375100153226413e+02
7.000000000000000000e+00,2.564655665891784224e+02
8.000000000000000000e+00,1.460917246922660695e+02
9.000000000000000000e+00,4.174437057584131026e+02
1.000000000000000000e+01,1.667061966201757173e+02
1.100000000000000000e+01,1.906153215593885193e+02
1.200000000000000000e+01,3.337050722664779983e+02
1.300000000000000000e+01,4.566872840384218648e+02
1.400000000000000000e+01,2.445407924916138711e+02
1.500000000000000000e+01,2.540986281517327257e+02
1.600000000000000000e+01,2.252897419221388873e+02
1.700000000000000000e+01,1.610388692240887281e+02
1.800000000000000000e+01,4.322057444508670301e+02
1.900000000000000000e+01,1.213953486344723274e+02
2.000000000000000000e+01,2.188563203936140553e+02
2.100000000000000000e+01,2.483758971785784695e+02
2.200000000000000000e+01,6.016124064053989429e+01
2.300000000000000000e+01,1.249307863838776882e+02
2.400000000000000000e+01,9.820876989884008879e+01
2.500000000000000000e+01,6.324679765615795191e+01
2.600000000000000000e+01,3.986508759712747860e+02
2.700000000000000000e+01,9.342141083947936409e+01
2.800000000000000000e+01,1.931966294690580526e+02
2.900000000000000000e+01,1.721122369397218108e+02
3.000000000000000000e+01,3.229724099510311248e+02
3.100000000000000000e+01,2.913548970996772027e+02
3.200000000000000000e+01,4.971155900901886753e+02
3.300000000000000000e+01,1.462780866171665821e+03
3.400000000000000000e+01,2.430649763342755136e+02
3.500000000000000000e+01,3.868710574370097106e+02
3.600000000000000000e+01,4.216682154894492101e+02
3.700000000000000000e+01,2.087586924443380951e+02
3.800000000000000000e+01,2.395538086482098947e+02
3.900000000000000000e+01,4.432807035140983771e+02
4.000000000000000000e+01,3.365434897094262396e+02
4.100000000000000000e+01,1.568626991919489058e+02
4.200000000000000000e+01,1.019711473728482929e+02
4.300000000000000000e+01,3.657721937635108134e+02
4.400000000000000000e+01,4.785168633281485882e+02
4.500000000000000000e+01,1.384597711111312606e+02
4.600000000000000000e+01,1.646219492415836214e+02
4.700000000000000000e+01,4.239232614340913301e+02
4.800000000000000000e+01,1.752169085243040456e+02
4.900000000000000000e+01,1.994523038797727565e+02
5.000000000000000000e+01,2.796616208154533751e+02
5.100000000000000000e+01,2.258513859447704704e+02
5.200000000000000000e+01,3.898992051555996454e+02
5.300000000000000000e+01,2.002929541871193919e+02
5.400000000000000000e+01,1.198806794004789680e+02
5.500000000000000000e+01,3.596449567272015315e+02
5.600000000000000000e+01,9.670492486194553976e+02
5.700000000000000000e+01,6.534663835613372385e+01
5.800000000000000000e+01,3.079015436020742413e+02
5.900000000000000000e+01,1.634497189095570491e+02
6.000000000000000000e+01,8.721653057272557419e+01
6.100000000000000000e+01,4.818703177297547313e+02
6.200000000000000000e+01,1.363059400051480736e+02
6.300000000000000000e+01,1.818970427714930054e+02
6.400000000000000000e+01,4.367104478465647617e+02
6.500000000000000000e+01,5.583894360297693993e+02
6.600000000000000000e+01,3.530089805592089078e+02
6.700000000000000000e+01,3.776293936239092091e+02
6.800000000000000000e+01,1.130781802046716393e+02
6.900000000000000000e+01,1.320557821221481731e+02
7.000000000000000000e+01,1.808220941052518640e+02
7.100000000000000000e+01,5.926487271771674159e+01
7.200000000000000000e+01,6.256648299260666590e+02
7.300000000000000000e+01,4.507262020099567508e+02
7.400000000000000000e+01,2.672353632312228342e+02
7.500000000000000000e+01,2.822694849646399575e+02
7.600000000000000000e+01,2.526284173135423430e+02
7.700000000000000000e+01,1.929246309654901950e+02
7.800000000000000000e+01,1.680243478745482548e+02
7.900000000000000000e+01,8.098623288450244218e+01
8.000000000000000000e+01,1.696165492040578613e+02
8.100000000000000000e+01,1.836002973653202446e+02
8.200000000000000000e+01,5.491316978316633595e+02
8.300000000000000000e+01,1.724067065847179379e+02
8.400000000000000000e+01,3.324456339572713546e+02
8.500000000000000000e+01,4.732154225341771507e+02
8.600000000000000000e+01,1.868676650934637564e+02
8.700000000000000000e+01,1.557970223804397278e+02
8.800000000000000000e+01,3.770716344461937979e+02
8.900000000000000000e+01,3.553830863538415770e+02
9.000000000000000000e+01,3.253597446219006315e+02
9.100000000000000000e+01,6.371910827348784068e+01
9.200000000000000000e+01,6.305624978766732056e+02
9.300000000000000000e+01,2.648462486916940293e+02
9.400000000000000000e+01,1.285045895879587192e+02
9.500000000000000000e+01,8.337611157232478263e+02
9.600000000000000000e+01,3.111739880479268550e+02
9.700000000000000000e+01,4.804370684272544736e+02
9.800000000000000000e+01,6.657048234869981229e+01
9.900000000000000000e+01,3.175021479652088487e+02
